"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"","SNH","UW","Senior Housing Properties Trust","riy","","14","1117.164","1912708257.4799998","null","null","null","null","2019-04-05","2018",""
"","SLGN","UW","Silgan Holdings Inc","riy","","17","4448.875","3418309923.16","13100","3386123","37184","91","2019-04-29","2018",""
"","SEE","UN","Sealed Air Corp","riy","spx","17","4732.7","6223894128.04","15500","8950447","53068","169","2019-04-04","2018",""
"","SFM","UW","Sprouts Farmers Market Inc","riy","","12","5207.336","2342693792.1","30000","4491961","20225","222","2019-03-18","2018",""
"","SAGE","UQ","Sage Therapeutics Inc","riy","","15","90.273","3979586227.2","637","9824582","589166","17","2019-04-25","2018",""
"","SBUX","UW","Starbucks Corp","riy","spx","11","26508.6","104542120000","218000","13382480","12754","1049","2019-01-25","2018",""
"","STAY","UW","Extended Stay America Inc","riy","","11","1275.059","2702059159.2599998","4100","4871336","22865","213","2019-04-25","2018",""
"","SRE","UN","Sempra Energy","riy","spx","19","11687","41340373587.9","20000","9918077","126325","79","2019-03-22","2018",""
"","SJM","UN","JM Smucker Co/The","riy","spx","12","7838","11833350358.75","7400","6745939","75742","89","2018-06-29","2018",""
"","SERV","UN","ServiceMaster Global Holdings Inc","riy","","11","1900","5157581747.04","10700","5526809","47907","115","2019-03-21","2018",""
"","SGEN","UW","Seattle Genetics Inc","riy","","15","654.7","19786473985.2","1302","18107037","198658","91","2019-04-05","2018",""
"","SPGI","UN","S&P Global Inc","riy","spx","18","6258","66599000000","21200","12360845","26738","462","2019-03-25","2018",""
"","SPLK","UW","Splunk Inc","riy","","18","1803.01","23450001996.3","4400","9162342","256370","36","2018-04-26","2018",""
"","SABR","UW","Sabre Corp","riy","","18","3866.956","6214476788.88","8860","10797250","88297","122","2019-02-25","2018",""
"","SITC","UN","SITE Centers Corp","riy","","14","707.255","2618291648.21","378","5992105","82949","72","2019-04-01","2018",""
"","ST","UN","Sensata Technologies Holding PLC","riy","","16","3521.627","8512964209.64","21650","5751560","10210","563","2019-04-30","2018",""
"","SRPT","UW","Sarepta Therapeutics Inc","riy","","15","301.034","10011141418.900002","499","1433872","329229","4.4","2019-04-26","2018",""
"","SPG","UN","Simon Property Group Inc","riy","spx","14","5657.919","44732288299.200005","5000","11436918","66910","171","2019-03-27","2018",""
"","SKX","UN","Skechers U.S.A. Inc","riy","","11","4642.068","6776638829.4","12600","27361406","12673","2159","2019-04-12","2018",""
"","SQ","UN","Square Inc","riy","","14","3298.177","27482427268.920002","3349","2.75","155200","0.0001","2019-04-26","2018",""
"","SMG","UN","Scotts Miracle-Gro Co/The","riy","","11","3156","5950962310.86","5600","5156569","44279","116","2018-12-14","2018",""
"","SLG","UN","SL Green Realty Corp","riy","spx","14","1227.392","7438264180.320001","1058","13355778","68880","194","2019-04-25","2018",""
"","SCCO","UN","Southern Copper Corp","riy","","17","7096.7","32924577230.71","13899","1504764","33824","44","2019-03-21","2018",""
"","SSNC","UW","SS&C Technologies Holdings Inc","riy","","18","3421.1","15450761239.5","22600","15862121","91791","173","2019-04-05","2018",""
"","SON","UN","Sonoco Products Co","riy","","17","5390.938","6158020224.16","23000","6862388","49394","139","2019-03-18","2018",""
"","SC","UN","Santander Consumer USA Holdings Inc","riy","","14","7172.178","8031881164.469999","4952","3260064","52992","62","2019-04-30","2018",""
"","SPR","UN","Spirit AeroSystems Holdings Inc","riy","","16","7222","7616814044.579999","17000","9899693","78740","126","2019-03-11","2018",""
"","SCHW","UN","Charles Schwab Corp/The","riy","spx","14","10989","62571859943.659996","19500","15627607","104281","150","2019-03-29","2018",""
"","SEB","UA","Seaboard Corp","riy","","12","6583","4905174928","12600","2662381","36643","73","2019-03-08","2018",""
"","SNA","UN","Snap-on Inc","riy","spx","11","4070.4","9264645273.08","12600","8896358","53162","167","2019-03-11","2018",""
"","SNV","UN","Synovus Financial Corp","riy","","14","1624.398","5677145009.639999","4651","5893708","61782","95","2019-03-12","2018",""
"","SNDR","UN","Schneider National Inc","riy","","16","4977","3839907942","19400","9497458","46541","204","2019-03-14","2018",""
"","SM","UN","SM Energy Co","riy","","13","1640.155","1235785934.85","611","6953254","150799","46","2019-04-15","2018",""
"","SCI","UN","Service Corp International/US","riy","","11","3190.174","8353176199.3","16129","13312454","33280","400","2019-03-27","2018",""
"","SNPS","UW","Synopsys Inc","riy","spx","18","3360.694","20805425350.170002","13896","7432836","92995","80","2019-02-15","2018",""
"","SLM","UW","SLM Corp","riy","","14","1883.457","3833293848.08","1700","6187641","79408","78","2019-04-26","2018",""
"","SRCL","UW","Stericycle Inc","riy","","16","3485.9","5828528459.52","22500","4133953.12","59310.61","70","2019-04-10","2018",""
"","SIVB","UW","SVB Financial Group","riy","spx","14","2714.893","12998748280.699999","2900","7648576","135614","56","2019-03-01","2018",""
"","SRC","UN","Spirit Realty Capital Inc","riy","","14","445.125","4864829400.000001","89","12103234","126015","96","2019-04-05","2018",""
"","SATS","UW","EchoStar Corp","riy","","10","2091.363","4308453290.65","2200","2026060","102830","20","2019-03-18","2018",""
"","SO","UN","Southern Co/The","riy","spx","19","23495","66206576725.57001","30286","13097691","113035","116","2019-03-22","2018",""
"","SBAC","UW","SBA Communications Corp","riy","spx","14","1865.695","27041132071.199997","1347","9101986","84778","107","2019-04-05","2018",""
"","SWK","UN","Stanley Black & Decker Inc","riy","spx","11","13982.4","25095628722.36","60767","13580324","47861","284","2019-03-06","2018",""
"","TPX","UN","Tempur Sealy International Inc","riy","","11","2702.9","4795643072.219999","6200","11296348","41969","269","2019-03-26","2018",""
"","SYF","UN","Synchrony Financial","riy","spx","14","18253","23469720716.32","16500","12464802","41933","297","2019-04-05","2018",""
"","THS","UN","TreeHouse Foods Inc","riy","","12","5812.1","2694288083.47","12700","10860153","55467","195","2019-02-28","2018",""
"","TKR","UN","Timken Co/The","riy","","16","3580.8","4247531017.71","17000","8720272","50297","173","2019-03-22","2018",""
"","STL","UN","Sterling Bancorp/DE","riy","","14","1299.87","4273276537.8","1907","4284994","48900","88","2019-04-17","2018",""
"","TCF","UN","TCF Financial Corp","riy","","14","924.532","7256141261.599999","3100","6258631","47181","132.7","2019-03-15","2018",""
"","STLD","UW","Steel Dynamics Inc","riy","","17","11821.839","7461108612.47","8200","10116690","110233","92","2019-03-27","2018",""
"","STZ","UN","Constellation Brands Inc","riy","spx","12","8116","35834683535.86","9800","10843537","50111","216","2018-06-01","2018",""
"","TAP","UN","Molson Coors Brewing Co","riy","spx","12","10769.6","11650361228.17","17750","8341482","73135","114","2019-04-04","2018",""
"","TDG","UN","TransDigm Group Inc","riy","spx","16","5223.203","31734358067.870003","18300","23471608","46742","502","2019-01-29","2018",""
"","SUI","UN","Sun Communities Inc","riy","","14","1126.825","13747491690.660002","2784","9193778","25878","355","2019-03-28","2018",""
"","THG","UN","Hanover Insurance Group Inc/The","riy","","14","4494.3","5430125443.2","4200","4182651","93723","45","2019-03-28","2018",""
"","TMUS","UW","T-Mobile US Inc","riy","","10","43310","66153043381.35999","52000","66543571","59653","1116","2019-04-26","2018",""
"","STT","UN","State Street Corp","riy","spx","14","12973","28958958417.4","40000","16119826","68527","235","2019-04-05","2018",""
"","TCBI","UW","Texas Capital Bancshares Inc","riy","","14","1242.217","2917082457.41","1564","4144219","88658","46.7","2019-03-07","2018",""
"","TPR","UN","Tapestry Inc","riy","spx","11","6027.1","7378519147.3","10110","12825430","24860","516","2018-09-28","2018",""
"","TEX","UN","Terex Corp","riy","","16","5125","2174650000","11700","9629700","53609","180","2019-04-03","2018",""
"","SWCH","UN","Switch Inc","riy","","10","405.86","3570244105.32","731","null","null","null","2019-04-26","2018",""
"","TFX","UN","Teleflex Inc","riy","spx","15","2448.383","17313746291.7","15200","6108486","43225","141","2019-03-29","2018",""
"","TDC","UN","Teradata Corp","riy","","18","2164","3019500000","10152","8767078","78615","112","2019-03-13","2018",""
"","TIF","UN","Tiffany & Co","riy","spx","11","4442.1","16023192049.5","14200","25097905","32055","783","2018-04-06","2018",""
"","SWKS","UW","Skyworks Solutions Inc","riy","spx","18","3376.8","20813049579.84","9000","9342113","20881","447","2019-01-25","2018",""
"","TDS","UN","Telephone & Data Systems Inc","riy","","10","5109","2842261044.0000005","9400","6576397","57930","113.5","2019-04-10","2018",""
"","GL","UN","Torchmark Corp","riy","spx","14","4303.751","null","3102","7837660","76409","103","2019-03-18","2018",""
"","TEAM","UW","Atlassian Corp PLC","riy","","18","1210.127","29426956221.600002","3616","null","null","null","null","-9999",""
"","SYY","UN","Sysco Corp","riy","spx","12","60113.922","43563166745.4","69000","9098603","71543","127","2018-10-05","2018",""
"","TECH","UW","Bio-Techne Corp","riy","","15","714.006","8412883496.160001","2255","9664874","73840","131","2018-09-11","2018",""
"","TRN","UN","Trinity Industries Inc","riy","","16","2509.1","2800900307.91","11515","8123175","13754","591","2019-04-05","2018",""
"","TMO","UN","Thermo Fisher Scientific Inc","riy","spx","15","24358","130927645527.76999","70000","18607103","79275","235","2019-04-09","2018",""
"","NLOK","UW","Symantec Corp","riy","spx","18","4731","null","11900","17347581","102869","168.6","2018-10-29","2018",""
"","T","UN","AT&T Inc","riy","spx","10","170756","284602800000","268220","29118118","95814","304","2019-03-11","2018",""
"","THO","UN","Thor Industries Inc","riy","","11","7864.758","4153154401.4399996","21750","14993153","55453","270","2018-09-28","2018",""
"","TGT","UN","Target Corp","riy","spx","12","75356","65141056904.55001","360000","8399210","20581","408","2018-05-04","2018",""
"","TDY","UN","Teledyne Technologies Inc","riy","","16","2901.8","12603356510.48","10850","7381431","59944","123","2019-03-11","2018",""
"","STE","UN","STERIS PLC","riy","","15","2782.17","12889576973.449999","12000","5214605","54283","97","2018-06-05","2018",""
"","STI","UN","SunTrust Banks Inc","riy","spx","14","10431","31140520361.030003","22899","8815914","67311","131","2019-03-08","2018",""
"","TCO","UN","Taubman Centers Inc","riy","","14","640.87","1838448762.15","450","1842633","94239","19","2019-04-30","2018",""
"","SYK","UN","Stryker Corp","riy","spx","15","13601","79208522466.08","36000","13911065","68841","202","2019-03-20","2018",""
"","TJX","UN","TJX Cos Inc/The","riy","spx","11","38972.934","72648231987.14","270000","16880171","11243","1501","2018-04-26","2018",""
"","SWI","UN","SolarWinds Corp","riy","","18","833.089","5753734619.12","2738","null","null","null","2019-04-05","2018",""
"","STWD","UN","Starwood Property Trust Inc","riy","","14","1399.427","7104619569.599999","290","null","null","null","2019-03-21","2018",""
"","TER","UW","Teradyne Inc","riy","","18","2100.802","11561183384.309998","4900","7172691","92268","78","2019-03-28","2018",""
"","TRCO","UN","Tribune Media Co","riy","","10","2009.734","null","5800","8411000","55673","151","2019-03-22","2018",""
"","STOR","UN","STORE Capital Corp","riy","","14","540.756","8657227240.74","90","6255537","121638","51.4","2019-03-29","2018",""
"","TOL","UN","Toll Brothers Inc","riy","","11","7223.966","5590478490","4900","9965247","66839","149","2019-02-01","2018",""
"","TRIP","UW","TripAdvisor Inc","riy","spx","10","1615","4202667533.7","3366","1972764","101586","19","2019-04-26","2018",""
"","TRGP","UN","Targa Resources Corp","riy","","13","10484","9383623532.83","2460","13481602","102427","132","2019-03-01","2018",""
"","TFSL","UW","TFS Financial Corp","riy","","14","502.551","5480165807.839999","null","4448818","62468","71.22","2019-01-08","2018",""
"","TRMB","UW","Trimble Inc","riy","","16","3108.4","10538355594.6","11287","11177172","94591","118","2019-03-26","2018",""
"","TSCO","UW","Tractor Supply Co","riy","spx","11","7911.046","11076215304.56","15000","9329017","26731","349","2019-03-25","2018",""
"","TROW","UW","T Rowe Price Group Inc","riy","spx","14","5372.6","28555370214.8","7022","13086753","103773","126","2019-03-14","2018",""
"","UDR","UN","UDR Inc","riy","spx","14","1046.859","13495110129.15","1405","6278476","63292","99","2019-03-27","2018",""
"","UMPQ","UW","Umpqua Holdings Corp","riy","","14","1346.566","3950684709.6600003","3928","3551514","58422","60.8","2019-02-28","2018",""
"","UI","UW","Ubiquiti Networks Inc","riy","","18","1161.733","null","955","0","57000","0","2018-10-26","2018",""
"","TRV","UN","Travelers Cos Inc/The","riy","spx","14","30282","35059457684.93001","30400","14660092","95238","154","2019-04-05","2018",""
"","TSS","UN","Total System Services Inc","riy","spx","14","4028.211","null","12820","10862672","65850","165","2019-02-12","2018",""
"","TSN","UN","Tyson Foods Inc","riy","spx","12","42405","33304008180.60001","141000","9486887","37069","256","2018-12-20","2018",""
"","VIAB","UW","Viacom Inc","riy","spx","10","12838","9863952854.91","10700","19955161","25469","784","2019-01-25","2018",""
"","TYL","UN","Tyler Technologies Inc","riy","","18","935.282","11633152194.39","4525","19835252","84516","234.69","2019-03-29","2018",""
"","URI","UN","United Rentals Inc","riy","spx","16","8047","12659266365.16","18500","13598202","75537","180","2019-03-26","2018",""
"","UGI","UN","UGI Corp","riy","","19","7320.4","9282180241.99","7550","7446659","51275","145","2018-12-20","2018",""
"","VICI","UN","VICI Properties Inc","riy","","14","897.977","11617372720.799997","null","3566161","17346","206","2019-03-18","2018",""
"","UNH","UN","UnitedHealth Group Inc","riy","spx","15","226247","279051593187.66003","300000","18124873","57412","316","2019-04-19","2018",""
"","UNVR","UN","Univar Inc","riy","","17","8632.5","4122675356.55","8500","4844134","64878","75","2019-03-25","2018",""
"","TXT","UN","Textron Inc","riy","spx","16","13972","10280954305.04","35000","13968652","97580","143","2019-03-06","2018",""
"","URBN","UW","Urban Outfitters Inc","riy","","11","3950.623","2658071055.5899997","9600","41480","8884.5","4.67","2018-04-02","2018",""
"","VER","UN","VEREIT Inc","riy","","14","1257.867","9758676427.18","180","8080813","96430","84","2019-03-21","2018",""
"","UHAL","UW","AMERCO","riy","","16","3768.707","7297038304.2","30000","941703","15847","59","2018-07-13","2018",""
"","VIRT","UW","Virtu Financial Inc","riy","","14","1878.718","3049808613.5400004","483","null","null","null","2019-04-25","2018",""
"","USFD","UN","US Foods Holding Corp","riy","","12","24175","9090630963.51","25000","8621214","78326","110","2019-03-05","2018",""
"","VAR","UN","Varian Medical Systems Inc","riy","spx","15","3225.1","12990918106.6","10062","10276439","144511","71","2018-12-21","2018",""
"","UPS","UN","United Parcel Service Inc","riy","spx","16","71861","101506158434.37999","481000","15072127","55417","272","2019-03-15","2018",""
"","UAL","UW","United Continental Holdings Inc","riy","spx","11","41303","22558841397.500004","92000","10493832","72924","144","2019-04-11","2018",""
"","UNM","UN","Unum Group","riy","spx","14","11598.5","6018914071.32","9600","9896861","62475","158","2019-04-11","2018",""
"","TWLO","UN","Twilio Inc","riy","","18","650.067","13790707906.449999","1440","6597956","221899","30","2019-04-26","2018",""
"","ULTA","UW","Ulta Beauty Inc","riy","spx","11","6716.615","14432667241.58","16000","7503296","27235","275","2018-04-25","2018",""
"","TWO","UN","Two Harbors Investment Corp","riy","","14","767.006","4104414977.2799993","null","null","null","null","2019-04-02","2018",""
"","TXN","UW","Texas Instruments Inc","riy","spx","18","15784","120146687431.73","29888","17596997","83905","210","2019-03-12","2018",""
"","TTWO","UW","Take-Two Interactive Software Inc","riy","spx","18","2668.394","14047086522.060001","4894","42629","56557","0.75","2018-07-26","2018",""
"","TWOU","UW","2U Inc","riy","","11","411.769","1555184099","2583","16923643","62222","272","2019-04-30","2018",""
"","UNIT","UW","Uniti Group Inc","riy","","14","1017.634","1654845419.06","798","5157654","72978","71","2019-04-04","2018",""
"","UFS","UN","Domtar Corp","riy","","17","5455","2221051050.6800003","10000","7952638","77034","103","2019-04-08","2018",""
"","USM","UN","United States Cellular Corp","riy","","10","3967","3025465080","5600","8600136","51979","165.5","2019-04-09","2018",""
"","UHS","UN","Universal Health Services Inc","riy","spx","15","10772.278","12552290793.08","78700","23588883","40826","578","2019-04-04","2018",""
"","VC","UW","Visteon Corp","riy","","11","2984","2469339168.8","10000","7858920","16278","483","2019-04-26","2018",""
"","TSLA","UW","Tesla Inc","riy","","11","21461.268","76649125864.49998","48817","2284044884","56163","40668.14","2019-03-28","2018",""
"","V","UN","Visa Inc","riy","spx","14","22977","369228724697.48","null","19493946","132483","147","2018-12-06","2018",""
"","UNP","UN","Union Pacific Corp","riy","spx","16","22832","124879617312.65","41967","13886920","79902","174","2019-04-05","2018",""
"","TRU","UN","TransUnion","riy","","18","2317.2","16109065000","7100","12264122","108928","113","2019-03-27","2018",""
"","VEEV","UN","Veeva Systems Inc","riy","","18","862.21","21050276088.96","2553","88141333","94810","930","2018-05-04","2018",""
"","TWTR","UN","Twitter Inc","riy","spx","10","3042.359","25231592230","3920","1.4","172703","0.0001","2019-04-08","2018",""
"","UAA","UN","Under Armour Inc","riy","spx","11","5193.185","9220523556.08","15000","6556629","10832","605","2019-03-27","2018",""
"","VFC","UN","VF Corp","riy","spx","11","13848.66","39498052105.9","75000","null","null","null","null","-9999",""
"","USB","UN","US Bancorp","riy","spx","14","25775","93196136315.87999","74000","13437128","58354","230","2019-03-05","2018",""
"","TTC","UN","Toro Co/The","riy","","16","3138.084","8412047900.280001","9329","5073126","43302","117","2019-02-05","2018",""
"","UTX","UN","United Technologies Corp","riy","spx","16","66501","129119135355.8","240000","18418315","71799","257","2019-03-18","2018",""
"","UTHR","UW","United Therapeutics Corp","riy","","15","1627.8","4010755390","860","16051966","189774","85","2019-04-29","2018",""
"","W","UN","Wayfair Inc","riy","","11","6779.174","8438563666","12124","83212","42694","2","2019-04-02","2018",""
"","WEC","UN","WEC Energy Group Inc","riy","spx","19","7679.5","28900209213.899998","8000","9862993","107894","91","2019-03-21","2018",""
"","VMC","UN","Vulcan Materials Co","riy","spx","17","4382.869","18880384403.25","8373","7702907","79390","97","2019-03-25","2018",""
"","WDC","UW","Western Digital Corp","riy","spx","18","16569","18507484213.05","61800","19738381","10999","1795","2018-09-28","2018",""
"","WBC","UN","WABCO Holdings Inc","riy","","16","3831","6932708557.839999","16135","8080720","51273","157.6","2019-04-18","2018",""
"","VRTX","UW","Vertex Pharmaceuticals Inc","riy","spx","15","3047.597","56716913129.28","2500","18799147","232178","81","2019-04-26","2018",""
"","WPX","UN","WPX Energy Inc","riy","","13","1992","5630169653.570001","600","11325367","142625","79","2019-03-27","2018",""
"","WBS","UN","Webster Financial Corp","riy","","14","1337.735","4908982292.760001","3265","3213026","64328","50","2019-03-22","2018",""
"","WLL","UN","Whiting Petroleum Corp","riy","","13","1924.413","640923936.12","755","5432235","117606","46","2019-03-19","2018",""
"","WBT","UN","Welbilt Inc","riy","","16","1590.1","2255077752.84","5500","3706252","47561","78","2019-03-13","2018",""
"","VLO","UN","Valero Energy Corp","riy","spx","13","111407","39053074813.200005","10261","18759156","153981","122","2019-03-20","2018",""
"","WRB","UN","WR Berkley Corp","riy","","14","7691.651","12567023521.36","7448","11852862","98170","121","2019-04-26","2018",""
"","WMT","UN","Walmart Inc","riy","spx","12","514405","339070776601.36","2200000","22791276","19177","1188","2018-04-20","2018",""
"","WEN","UW","Wendy's Co/The","riy","","11","1589.936","5100143918.790001","12500","5620867","20427","275","2019-04-18","2018",""
"","WHR","UN","Whirlpool Corp","riy","spx","11","21037","9175343479.68","92000","11847762","20485","578","2019-03-01","2018",""
"","WELL","UN","Welltower Inc","riy","spx","14","4700.499","32435561788.210007","384","12884453","91803","140","2019-03-22","2018",""
"","VST","UN","Vistra Energy Corp","riy","","19","9144","11448891543.24","5275","13399687","103538","129","2019-04-25","2018",""
"","WSO","UN","Watsco Inc","riy","","16","4546.653","6909971618.4736","5200","7117698","47786","149","2019-04-26","2018",""
"","VZ","UN","Verizon Communications Inc","riy","spx","10","130863","253440856327.52002","144500","23821477","120645","198","2019-03-18","2018",""
"","WRK","UN","Westrock Co","riy","spx","17","18289","11041849077.88","51100","18030504","53553","337","2018-12-07","2018",""
"","WAB","UN","Wabtec Corp","riy","spx","16","4363.547","14880311077.659998","18000","5250248","39210","134","2019-04-05","2018",""
"","WSM","UN","Williams-Sonoma Inc","riy","","11","5671.593","5669062941.58","11400","14429332","9771","1477","2018-04-13","2018",""
"","WCC","UN","WESCO International Inc","riy","","16","8176.601","2448017783.6499996","9100","7431924","55167","134","2019-04-15","2018",""
"","WMB","UN","Williams Cos Inc/The","riy","spx","13","8686","28895244250.239998","5322","10691376","122742","87","2019-03-28","2018",""
"","WAT","UN","Waters Corp","riy","spx","15","2419.929","15019008934.93","7246","8258221","78872","105","2019-04-04","2018",""
"","VRSK","UW","Verisk Analytics Inc","riy","spx","18","2395.1","24444462690.27","7951","7744757","75628","102","2019-04-01","2018",""
"","WH","UN","Wyndham Hotels & Resorts Inc","riy","","11","1868","5956531196.22","16200","8835950","25508","346","2019-04-02","2018",""
"","WTM","UN","White Mountains Insurance Group Ltd","riy","","14","369.1","3564410007","1058","6247593","85834","73","2019-04-08","2018",""
"","WFC","UN","Wells Fargo & Co","riy","spx","14","101060","227624112305.46","259000","18426734","65191","283","2019-03-13","2018",""
"","VNO","UN","Vornado Realty Trust","riy","spx","14","2163.72","12827050074.41","3928","11599270","61701","188","2019-04-05","2018",""
"","WLTW","UW","Willis Towers Watson PLC","riy","spx","14","8513","25970400884.940002","43000","4991828","59079","84","2019-04-03","2018",""
"","VRSN","UW","VeriSign Inc","riy","spx","10","1214.969","22630586677.5","900","9162786","189290","48","2019-04-11","2018",""
"","WBA","UW","Walgreens Boots Alliance Inc","riy","spx","12","136866","51814068057.6","342000","13542260","31132","435","2018-12-06","2018",""
"","WST","UN","West Pharmaceutical Services Inc","riy","","15","1717.4","11152614442.749998","7700","5378813","39392","137","2019-03-22","2018",""
"","WRI","UN","Weingarten Realty Investors","riy","","14","531.147","3985017675.6","254","4758715","88305","54","2019-03-13","2018",""
"","WM","UN","Waste Management Inc","riy","spx","16","14914","47769559120","43700","9125281","81096","113","2019-03-27","2018",""
"","VMW","UN","VMware Inc","riy","","18","8974","61904615751.00001","24200","17675109","137712","128","2018-06-01","2018",""
"","WCG","UN","WellCare Health Plans Inc","riy","spx","15","20414.1","16673537855.6","12000","12697176","81647","155.5","2019-04-08","2018",""
"","VMI","UN","Valmont Industries Inc","riy","","16","2757.144","3206451141.6","10328","4428908","47042","94","2019-03-21","2018",""
"","WLK","UN","Westlake Chemical Corp","riy","","17","8635","8996637504.999998","8870","9014456","87852","102.6","2019-04-05","2018",""
"","VVV","UN","Valvoline Inc","riy","","17","2390","4034525278.4199996","7900","4437571","29246","152","2018-12-17","2018",""
"","VOYA","UN","Voya Financial Inc","riy","","14","8514","8140521695.130001","6000","11337911","98728","115","2019-04-10","2018",""
"","VTR","UN","Ventas Inc","riy","spx","14","3745.81","21383865868.989998","500","13116300","96709","136","2019-04-01","2018",""
"","WDAY","UW","Workday Inc","riy","","18","2822.18","38223700000","10500","9145119","178903","51","2018-04-27","2018",""
"","WAL","UN","Western Alliance Bancorp","riy","","14","1076.599","5860594626.400001","1787","4830831","87551","55","2019-04-17","2018",""
"","WTFC","UW","Wintrust Financial Corp","riy","","14","1526.96","4064121260.1899996","4727","4900431","54068","91","2019-04-05","2018",""
"","WEX","UN","WEX Inc","riy","","14","1492.639","8913764418.74","3700","5630717","58919","96","2019-04-22","2018",""
"","WP","UN","Worldpay Inc","riy","","14","3925.4","null","8186","17500309","88315","198","2019-04-03","2018",""
"","VSM","UN","Versum Materials Inc","riy","","17","1372.3","null","2300","4809960","82544","58","2018-12-20","2018",""
"","WPC","UN","WP Carey Inc","riy","","14","885.732","13521974792.979998","206","4651442","141165","33","2019-04-04","2018",""
"","FTI","UN","TechnipFMC PLC","spx","","13","12552.9","9450949174.380001","37000","13403500","59634","225","2019-03-15","2018",""
"","XLNX","UW","Xilinx Inc","riy","spx","18","3059.04","24767023438.079998","4433","4652905","165762","28","2018-06-20","2018",""
"","XOG","UW","Extraction Oil & Gas Inc","riy","","13","1184.261","288408070.08000004","279","4347786","166747","26.1","2019-04-05","2018",""
"","ZEN","UN","Zendesk Inc","riy","","18","598.746","8608329989.58","2740","3303579","116506","28","2019-04-09","2018",""
"","XRX","UN","Xerox Corp","riy","spx","18","9830","8078955313.57","32400","23902481","43953","544","2019-04-22","2018",""
"","X","UN","United States Steel Corp","riy","","17","14178","2021751273.0600004","17000","11590073","73872","157","2019-03-15","2018",""
"","WYNN","UW","Wynn Resorts Ltd","riy","spx","11","6717.66","14969526260.640001","26000","17227260","44492","387","2019-03-27","2018",""
"","ZBH","UN","Zimmer Biomet Holdings Inc","riy","spx","15","7932.9","31031599694.94","19000","9710434","65395","148","2019-03-27","2018",""
"","XOM","UN","Exxon Mobil Corp","riy","spx","13","279332","296262046741.32","71000","18810320","171375","110","2019-04-11","2018",""
"","YUM","UN","Yum! Brands Inc","riy","spx","11","5688","30346029716.76","34000","14007038","11865","1181","2019-04-05","2018",""
"","STX","UW","Seagate Technology PLC","spx","","18","10390","15628684290.840002","40500","9332073","8493","1099","2018-09-07","2018",""
"","WTR","UN","Aqua America Inc","riy","","19","838.091","9974002166.54","1571","3552902","75791","47","2019-03-22","2018",""
"","ZG","UW","Zillow Group Inc","riy","","10","1333.554","9315456954.585001","4336","12863822","127421","101","2019-04-16","2018",""
"","XEL","UW","Xcel Energy Inc","riy","spx","19","11537","32963035714.559998","11043","12147768","108946","112","2019-04-01","2018",""
"","WY","UN","Weyerhaeuser Co","riy","spx","14","7476","22242500699.699997","9300","11191321","70427","159","2019-04-04","2018",""
"","WYND","UN","Wyndham Destinations Inc","riy","","11","3931","4670360184.82","24500","8946786","40855","219","2019-04-04","2018",""
"","XEC","UN","Cimarex Energy Co","riy","spx","13","2314.588","5351140958.400001","955","9727480","118035","82","2019-03-25","2018",""
"","ZTS","UN","Zoetis Inc","riy","spx","15","5825","63309696309.99999","10000","11669400","75366","155","2019-04-02","2018",""
"","WU","UN","Western Union Co/The","riy","spx","14","5589.9","11349258755.99","12000","9173300","29942","306","2019-04-03","2018",""
"","XRAY","UW","DENTSPLY SIRONA Inc","riy","spx","15","3986.3","12724286747.22","16400","11338542","53945","212","2019-04-12","2018",""
"","ZION","UW","Zions Bancorp NA","riy","spx","14","3033","8784002963.45","10201","4363039","66890","65","2019-04-18","2018",""
"","XPO","UN","XPO Logistics Inc","riy","","16","17279","7278797084.12","100000","13327471","36940","361","2019-04-22","2018",""
"","Y","UN","Alleghany Corp","riy","","14","6887.16","11392425844.310001","9300","9056352","61805","147","2019-03-15","2018",""
"","ZAYO","UN","Zayo Group Holdings Inc","riy","","10","2578","8172993188.57","3781","9737927","67000","145","2018-09-17","2018",""
"","ZBRA","UW","Zebra Technologies Corp","riy","","18","4218","13713849499.740002","7400","9496092","68162","139.32","2019-04-05","2018",""
"","ZNGA","UW","Zynga Inc","riy","","18","907.208","5987689311.059999","1777","9903703","102680","96","2019-03-28","2018",""
"","YUMC","UN","Yum China Holdings Inc","riy","","11","8415","18186457680.96","450000","10608080","3885","2731","2019-03-29","2018",""
"","XYL","UN","Xylem Inc/NY","riy","spx","16","5207","14161402415.439999","17000","8327670","49549","168","2019-04-02","2018",""
"","TEL","UN","TE Connectivity Ltd","spx","","16","13448","31841984966.399998","78000","10237011","20758","493","2018-12-14","2018",""
