id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
91,90,General Dynamics,98800,88,"$31,353 ",-0.40%,"$2,955.00 ",-0.30%,"$32,872 ","$56,791 "
92,91,Rite Aid,70580,107,"$30,737 ",15.90%,$165.50 ,-92.20%,"$11,277 ","$4,473 "
93,92,Gilead Sciences,9000,86,"$30,390 ",-6.90%,"$13,501.00 ",-25.40%,"$56,977 ","$88,788 "
94,93,CHS,12157,84,"$30,347 ",-12.20%,$424.20 ,-45.70%,"$17,318 ",-
95,94,3M,91584,93,"$30,109 ",-0.50%,"$5,050.00 ",4.50%,"$32,906 ","$114,338 "
96,95,Time Warner,25000,99,"$29,318 ",4.30%,"$3,926.00 ",2.40%,"$65,966 ","$75,660 "
97,96,Charter Communications,91500,292,"$29,003 ",197.30%,"$3,522.00 ",-,"$149,067 ","$100,595 "
98,97,Northwestern Mutual,5646,100,"$28,799 ",2.40%,$818.00 ,0.40%,"$250,441 ",-
99,98,Facebook,17048,157,"$27,638 ",54.20%,"$10,217.00 ",177.00%,"$64,961 ","$410,522 "
100,99,Travelers Cos.,30900,105,"$27,625 ",3.10%,"$3,014.00 ",-12.40%,"$100,245 ","$33,689 "
101,100,Capital One Financial,47300,112,"$27,519 ",9.60%,"$3,751.00 ",-7.40%,"$357,033 ","$41,831 "
102,101,Twenty-First Century Fox,21500,96,"$27,326 ",-5.70%,"$2,755.00 ",-66.80%,"$48,365 ","$59,949 "
103,102,USAA,29943,114,"$27,131 ",11.40%,"$1,779.10 ",-21.70%,"$147,290 ",-
104,103,World Fuel Services,5000,92,"$27,016 ",-11.10%,$126.50 ,-27.50%,"$5,413 ","$2,535 "
105,104,Philip Morris International,79500,106,"$26,685 ",-0.40%,"$6,967.00 ",1.40%,"$36,851 ","$175,349 "
106,105,Deere,56767,97,"$26,644 ",-7.70%,"$1,523.90 ",-21.40%,"$57,981 ","$34,648 "
107,106,Kraft Heinz,41000,153,"$26,487 ",44.40%,"$3,632.00 ",472.90%,"$120,480 ","$110,528 "
108,107,Tech Data,9500,108,"$26,235 ",-0.50%,$195.10 ,-26.60%,"$7,932 ","$3,569 "
109,108,Avnet,17700,102,"$26,219 ",-6.10%,$506.50 ,-11.40%,"$11,240 ","$5,898 "
110,109,Mondelez International,90000,102,"$25,923 ",-12.50%,"$1,659.00 ",-77.20%,"$61,538 ","$65,676 "
111,110,Macy,148300,103,"$25,778 ",-4.80%,$619.00 ,-42.30%,"$19,851 ","$9,046 "
112,111,AbbVie,30000,123,"$25,638 ",12.20%,"$5,953.00 ",15.70%,"$66,099 ","$103,838 "
113,112,McDonald,375000,109,"$24,622 ",-3.10%,"$4,686.50 ",3.50%,"$31,024 ","$106,150 "
114,113,DuPont,46000,101,"$24,594 ",-12.00%,"$2,513.00 ",28.70%,"$39,964 ","$69,451 "
115,114,Northrop Grumman,67000,118,"$24,508 ",4.20%,"$2,200.00 ",10.60%,"$25,614 ","$41,577 "
116,115,ConocoPhillips,13300,90,"$24,360 ",-21.30%,"($3,615.00)",-,"$89,772 ","$61,692 "
117,116,Raytheon,63000,120,"$24,069 ",3.50%,"$2,211.00 ",6.60%,"$30,052 ","$44,664 "
118,117,Tesoro,6308,98,"$24,005 ",-14.70%,$734.00 ,-52.30%,"$20,398 ","$9,515 "
119,118,Arrow Electronics,18700,119,"$23,825 ",2.30%,$522.80 ,5.00%,"$14,206 ","$6,546 "
120,119,Qualcomm,30500,110,"$23,554 ",-6.80%,"$5,705.00 ",8.20%,"$52,359 ","$84,694 "
121,120,Progressive,31721,137,"$23,441 ",12.40%,"$1,031.00 ",-18.70%,"$33,428 ","$22,760 "
122,121,Duke Energy,28798,115,"$23,369 ",-1.00%,"$2,152.00 ",-23.60%,"$132,761 ","$57,397 "
123,122,Enterprise Products Partners,6800,104,"$23,022 ",-14.80%,"$2,513.10 ",-0.30%,"$52,194 ","$58,522 "
124,123,Amgen,19200,130,"$22,991 ",6.10%,"$7,722.00 ",11.30%,"$77,626 ","$120,830 "
125,124,US Foods Holding,25000,122,"$22,919 ",-0.90%,$209.80 ,25.20%,"$8,945 ","$6,207 "
126,125,U.S. Bancorp,71191,131,"$22,744 ",5.80%,"$5,888.00 ",0.20%,"$445,964 ","$87,201 "
127,126,Aflac,10212,135,"$22,559 ",8.10%,"$2,659.00 ",5.00%,"$129,819 ","$29,053 "
128,127,Sears Holdings,140000,111,"$22,138 ",-12.00%,"($2,221.00)",-,"$9,362 ","$1,231 "
129,128,Dollar General,121000,139,"$21,987 ",7.90%,"$1,251.10 ",7.40%,"$11,672 ","$19,182 "
130,129,AutoNation,26000,136,"$21,609 ",3.60%,$430.50 ,-2.70%,"$10,060 ","$4,268 "
131,130,Community Health Systems,108000,125,"$21,374 ",-5.80%,"($1,721.00)",-,"$21,944 ","$1,010 "
132,131,Starbucks,254000,146,"$21,316 ",11.20%,"$2,817.70 ",2.20%,"$14,330 ","$85,092 "
133,132,Eli Lilly,41975,141,"$21,222 ",6.30%,"$2,737.60 ",13.70%,"$38,806 ","$92,803 "
134,133,International Paper,55000,127,"$21,079 ",-5.80%,$904.00 ,-3.60%,"$33,345 ","$20,884 "
135,134,Tenet Healthcare,116475,140,"$21,070 ",4.80%,($192.00),-,"$24,701 ","$1,777 "
136,135,Abbott Laboratories,75000,138,"$20,853 ",0.90%,"$1,400.00 ",-68.30%,"$52,666 ","$76,740 "
137,136,Dollar Tree,116050,180,"$20,719 ",33.70%,$896.20 ,217.40%,"$15,702 ","$18,540 "
138,137,Whirlpool,93000,134,"$20,718 ",-0.80%,$888.00 ,13.40%,"$19,153 ","$12,762 "
139,138,Southwest Airlines,53536,142,"$20,425 ",3.10%,"$2,244.00 ",2.90%,"$23,286 ","$33,076 "
140,139,Emerson Electric,103500,128,"$20,268 ",-9.10%,"$1,635.00 ",-39.70%,"$21,743 ","$38,614 "
141,140,Staples,61503,132,"$20,217 ",-4.00%,"($1,497.00)",-494.80%,"$8,271 ","$5,723 "
142,141,Plains GP Holdings,5100,121,"$20,182 ",-12.80%,$94.00 ,-20.30%,"$26,103 ","$9,127 "
143,142,Penske Automotive Group,24000,143,"$20,143 ",4.00%,$342.90 ,5.20%,"$8,861 ","$4,001 "
144,143,Union Pacific,42919,129,"$19,941 ",-8.60%,"$4,233.00 ",-11.30%,"$55,718 ","$85,911 "
145,144,Danaher,62000,133,"$19,912 ",-4.80%,"$2,553.70 ",-23.90%,"$45,295 ","$59,359 "
146,145,Southern,32015,162,"$19,896 ",13.80%,"$2,448.00 ",3.40%,"$109,697 ","$49,335 "
147,146,ManpowerGroup,28000,144,"$19,654 ",1.70%,$443.70 ,5.80%,"$7,574 ","$6,938 "
148,147,Bristol-Myers Squibb,25000,168,"$19,427 ",17.30%,"$4,457.00 ",184.80%,"$33,707 ","$89,591 "
149,148,Altria Group,8300,149,"$19,337 ",2.60%,"$14,239.00 ",171.70%,"$45,932 ","$138,513 "
150,149,Fluor,61551,155,"$19,037 ",5.10%,$281.40 ,-31.80%,"$9,216 ","$7,353 "
151,150,Kohl,85000,145,"$18,686 ",-2.70%,$556.00 ,-17.40%,"$13,574 ","$6,862 "
152,151,Lear,148400,154,"$18,558 ",1.90%,$975.10 ,30.80%,"$9,901 ","$9,726 "
153,152,Jabil Circuit,138000,158,"$18,353 ",2.50%,$254.10 ,-10.50%,"$10,323 ","$5,270 "
154,153,Hartford Financial Services Group,16900,152,"$18,300 ",-0.40%,$896.00 ,-46.70%,"$223,432 ","$17,795 "
155,154,Thermo Fisher Scientific,54800,164,"$18,274 ",7.70%,"$2,021.80 ",2.30%,"$45,908 ","$59,964 "
156,155,Kimberly-Clark,42000,151,"$18,202 ",-2.10%,"$2,166.00 ",113.80%,"$14,602 ","$46,828 "
157,156,Molina Healthcare,21000,201,"$17,782 ",25.40%,$52.00 ,-63.60%,"$7,449 ","$2,601 "
158,157,PG&E Corp.,24000,166,"$17,666 ",4.90%,"$1,393.00 ",59.40%,"$68,598 ","$33,696 "
159,158,Supervalu,38000,160,"$17,529 ",-1.60%,$178.00 ,-7.30%,"$4,370 ","$1,033 "
160,159,Cummins,55400,148,"$17,509 ",-8.40%,"$1,394.00 ",-0.40%,"$15,011 ","$25,397 "
161,160,CenturyLink,40000,159,"$17,470 ",-2.40%,$626.00 ,-28.70%,"$47,017 ","$12,883 "
162,161,AECOM,87000,156,"$17,411 ",-3.20%,$96.10 ,-,"$13,727 ","$5,528 "
163,162,Xerox,133600,150,"$17,126 ",-8.20%,($477.00),-200.60%,"$18,145 ","$7,462 "
164,163,Marriott International,226500,195,"$17,072 ",17.90%,$780.00 ,-9.20%,"$24,140 ","$36,124 "
165,164,Paccar,23000,147,"$17,033 ",-10.90%,$521.70 ,-67.50%,"$20,639 ","$23,604 "
166,165,General Mills,39000,161,"$16,563 ",-6.10%,"$1,697.40 ",39.00%,"$21,712 ","$33,998 "
167,166,PNC Financial Services Group,50683,171,"$16,423 ",0.90%,"$3,903.00 ",-4.90%,"$366,380 ","$58,455 "
168,167,American Electric Power,17634,165,"$16,380 ",-3.10%,$610.90 ,-70.20%,"$63,468 ","$33,009 "
169,168,Icahn Enterprises,90980,184,"$16,348 ",7.00%,"($1,128.00)",-,"$33,335 ","$7,989 "
170,169,Nucor,23900,170,"$16,208 ",-1.40%,$796.30 ,122.60%,"$15,224 ","$19,051 "
171,170,NextEra Energy,14700,163,"$16,155 ",-7.60%,"$2,912.00 ",5.80%,"$89,993 ","$60,099 "
172,171,Performance Food Group,13000,185,"$16,105 ",5.50%,$68.30 ,20.90%,"$3,455 ","$2,464 "
173,172,PBF Energy,3165,217,"$15,920 ",21.30%,$170.80 ,16.70%,"$7,622 ","$2,431 "
174,173,Halliburton,50000,117,"$15,887 ",-32.80%,"($5,763.00)",-,"$27,000 ","$42,662 "
175,174,CarMax,22429,191,"$15,833 ",6.40%,$623.40 ,4.40%,"$14,482 ","$11,081 "
176,175,Freeport-McMoRan,30000,175,"$15,789 ",-0.60%,"($4,154.00)",-,"$37,317 ","$19,310 "
177,176,Whole Foods Market,73515,181,"$15,724 ",2.20%,$507.00 ,-5.40%,"$6,341 ","$9,468 "
178,177,Bank of New York Mellon Corp.,52000,179,"$15,683 ",1.00%,"$3,547.00 ",12.30%,"$333,469 ","$48,913 "
179,178,Gap,135000,177,"$15,516 ",-1.80%,$676.00 ,-26.50%,"$7,610 ","$9,712 "
180,179,Omnicom Group,78500,186,"$15,417 ",1.90%,"$1,148.60 ",5.00%,"$23,165 ","$20,219 "
181,180,Genuine Parts,40000,183,"$15,340 ",0.40%,$687.20 ,-2.60%,"$8,859 ","$13,712 "
182,181,DaVita HealthCare Partners,70300,200,"$15,197 ",6.90%,$879.90 ,226.20%,"$18,741 ","$13,227 "
183,182,Colgate-Palmolive,36700,174,"$15,195 ",-5.20%,"$2,441.00 ",76.40%,"$12,123 ","$64,715 "
184,183,PPG Industries,47000,182,"$15,178 ",-1.00%,$877.00 ,-37.60%,"$15,769 ","$26,970 "
185,184,Goodyear Tire & Rubber,66000,169,"$15,158 ",-7.80%,"$1,264.00 ",311.70%,"$16,511 ","$9,070 "
186,185,Synchrony Financial,15000,,"$15,122 ",11.00%,"$2,251.00 ",1.70%,"$90,207 ","$27,810 "
187,186,DISH Network,16000,187,"$15,095 ",0.20%,"$1,449.90 ",94.10%,"$28,092 ","$29,547 "
188,187,Visa,14200,204,"$15,082 ",8.70%,"$5,991.00 ",-5.30%,"$64,035 ","$206,242 "
189,188,Nordstrom,72500,197,"$14,757 ",2.20%,$354.00 ,-41.00%,"$7,858 ","$7,770 "
190,189,INTL FCStone,1464,83,"$14,755 ",-57.50%,$54.70 ,-1.80%,"$5,951 ",$708 
191,190,WestRock,39000,251,"$14,706 ",29.20%,($396.30),-178.20%,"$23,038 ","$13,029 "
192,191,XPO Logistics,87000,353,"$14,619 ",91.80%,$69.00 ,-,"$11,698 ","$5,338 "
193,192,Aramark,217250,199,"$14,416 ",0.60%,$287.80 ,22.00%,"$10,582 ","$9,081 "
194,193,CBS,18410,203,"$14,386 ",3.60%,"$1,261.00 ",-10.80%,"$24,238 ","$28,405 "
195,194,AES,19000,190,"$14,287 ",-4.50%,"($1,130.00)",-469.30%,"$36,119 ","$7,371 "
196,195,WellCare Health Plans,7400,202,"$14,237 ",2.50%,$242.10 ,104.10%,"$6,153 ","$6,212 "
197,196,FirstEnergy,15707,188,"$14,156 ",-3.10%,"($6,177.00)",-,"$43,148 ","$14,118 "
198,197,ConAgra Foods,20900,176,"$14,134 ",-10.80%,($677.00),-,"$13,391 ","$17,557 "
199,198,Synnex,110000,212,"$14,062 ",5.40%,$234.90 ,12.70%,"$5,223 ","$4,469 "
200,199,CDW,8516,220,"$13,982 ",7.60%,$424.40 ,5.30%,"$6,948 ","$9,197 "
201,200,Textron,36000,209,"$13,788 ",2.70%,$962.00 ,38.00%,"$15,358 ","$12,851 "
202,201,Waste Management,41200,221,"$13,609 ",5.00%,"$1,182.00 ",57.00%,"$20,859 ","$32,216 "
203,202,Illinois Tool Works,50000,211,"$13,599 ",1.40%,"$2,035.00 ",7.20%,"$15,201 ","$45,791 "
204,203,Office Depot,38000,196,"$13,585 ",-6.20%,$529.00 ,-,"$5,540 ","$2,402 "
205,204,Monsanto,22450,189,"$13,502 ",-10.00%,"$1,336.00 ",-42.30%,"$19,736 ","$49,644 "
206,205,Cognizant Technology Solutions,260200,230,"$13,487 ",8.60%,"$1,553.00 ",-4.30%,"$14,262 ","$36,226 "
207,206,Texas Instruments,29865,219,"$13,370 ",2.80%,"$3,595.00 ",20.40%,"$16,431 ","$80,531 "
208,207,Lincoln National,9057,205,"$13,330 ",-1.80%,"$1,192.00 ",3.30%,"$261,627 ","$14,760 "
209,208,Newell Brands,53400,434,"$13,264 ",122.10%,$527.80 ,50.80%,"$33,838 ","$22,787 "
210,209,Land O,10000,215,"$13,233 ",0.60%,$244.90 ,-20.40%,"$8,305 ",-
211,210,Marsh & McLennan,60000,222,"$13,211 ",2.50%,"$1,768.00 ",10.60%,"$18,190 ","$38,078 "
212,211,Ecolab,47565,206,"$13,153 ",-2.90%,"$1,229.60 ",22.70%,"$18,330 ","$36,356 "
213,212,C.H. Robinson Worldwide,14125,208,"$13,144 ",-2.50%,$513.40 ,0.70%,"$3,688 ","$10,958 "
214,213,Loews,15800,210,"$13,105 ",-2.30%,$654.00 ,151.50%,"$76,594 ","$15,747 "
215,214,CBRE Group,75000,259,"$13,072 ",20.40%,$572.00 ,4.50%,"$10,780 ","$11,753 "
216,215,Kinder Morgan,11121,198,"$13,058 ",-9.30%,$708.00 ,179.80%,"$80,305 ","$48,533 "
217,216,Kellogg,37369,207,"$13,014 ",-3.80%,$694.00 ,13.00%,"$15,111 ","$25,417 "
218,217,Western Digital,72878,194,"$12,994 ",-10.80%,$242.00 ,-83.50%,"$32,862 ","$23,775 "
219,218,Guardian Life Ins. Co. of America,8876,226,"$12,919 ",2.30%,$263.90 ,-35.70%,"$70,339 ",-
220,219,Ross Stores,78600,237,"$12,867 ",7.80%,"$1,117.70 ",9.50%,"$5,309 ","$25,814 "
221,220,L Brands,59100,234,"$12,574 ",3.50%,"$1,158.10 ",-7.60%,"$8,170 ","$13,426 "
222,221,J.C. Penney,106000,228,"$12,547 ",-0.60%,$1.00 ,-,"$9,314 ","$1,901 "
223,222,Farmers Insurance Exchange,13309,227,"$12,513 ",-0.90%,($147.90),-,"$16,057 ",-
224,223,Reynolds American,5525,266,"$12,503 ",17.10%,"$6,073.00 ",86.70%,"$51,095 ","$89,862 "
225,224,Viacom,9650,213,"$12,488 ",-5.90%,"$1,438.00 ",-25.20%,"$22,508 ","$18,503 "
226,225,Becton Dickinson,50928,278,"$12,483 ",21.40%,$976.00 ,40.40%,"$25,586 ","$39,041 "
227,226,Micron Technology,31400,173,"$12,399 ",-23.40%,($276.00),-109.50%,"$27,540 ","$31,972 "
228,227,Principal Financial,14854,236,"$12,394 ",3.60%,"$1,316.50 ",6.70%,"$228,014 ","$18,143 "
229,228,Arconic,41500,126,"$12,394 ",-45.00%,($941.00),-,"$20,038 ","$11,604 "
230,229,NRG Energy,8763,193,"$12,351 ",-15.80%,($774.00),-,"$30,355 ","$5,911 "
231,230,VF,69000,231,"$12,207 ",-1.40%,"$1,074.10 ",-12.80%,"$9,739 ","$22,786 "
232,231,Devon Energy,3545,216,"$12,197 ",-7.20%,"($3,302.00)",-,"$25,913 ","$21,886 "
233,232,D.R. Horton,6976,260,"$12,157 ",12.30%,$886.30 ,18.10%,"$11,559 ","$12,438 "
234,233,Bed Bath & Beyond,62000,238,"$12,104 ",1.90%,$841.50 ,-12.10%,"$6,499 ","$5,931 "
235,234,Consolidated Edison,14960,229,"$12,075 ",-3.80%,"$1,245.00 ",4.40%,"$48,255 ","$23,708 "
236,235,Edison International,12390,246,"$11,869 ",3.00%,"$1,311.00 ",28.50%,"$51,319 ","$25,938 "
237,236,Sherwin-Williams,42550,253,"$11,856 ",4.60%,"$1,132.70 ",7.50%,"$6,753 ","$28,891 "
238,237,NGL Energy Partners,3200,167,"$11,742 ",-30.10%,($198.90),-633.20%,"$5,560 ","$2,686 "
